COMBINED HOST-MOUSE COMMUNICATION LOG
======================================


[bind macros 123 to btns 1 and 6 -456 to 2 and 5 - 789 to 3 and 4 - 7 to ctrl-alt-del - 8 fire 3x with 40ms delay - 9 tripple click - 10 rgb 11 polling rate 12 stop 13 play.pcapng]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  <-- M2H | WRITE      | 09 07 00 04 8A 0A 00 00 00 00 00 00 00 00 00 00 AD | [Page:0x04 Off:0x8A Len:10]
  --> H2M | WRITE      | 08 07 00 04 94 0A 00 00 00 00 00 00 00 00 00 00 A4 | [Page:0x04 Off:0x94 Len:10]
  <-- M2H | WRITE      | 09 07 00 04 94 0A 00 00 00 00 00 00 00 00 00 00 A3 | [Page:0x04 Off:0x94 Len:10]
  --> H2M | WRITE      | 08 07 00 04 9E 0A 00 0C 81 1E 00 00 7D 41 1E 00 13 | [Page:0x04 Off:0x9E Len:10]
  <-- M2H | WRITE      | 09 07 00 04 9E 0A 00 0C 81 1E 00 00 7D 41 1E 00 12 | [Page:0x04 Off:0x9E Len:10]
  --> H2M | WRITE      | 08 07 00 04 A8 0A 00 EA 81 1F 00 00 8D 41 1F 00 19 | [Page:0x04 Off:0xA8 Len:10]
  <-- M2H | WRITE      | 09 07 00 04 A8 0A 00 EA 81 1F 00 00 8D 41 1F 00 18 | [Page:0x04 Off:0xA8 Len:10]
  --> H2M | WRITE      | 08 07 00 04 B2 0A 00 CB 81 1E 00 00 6D 41 1E 00 50 | [Page:0x04 Off:0xB2 Len:10] Text:'쬀ẁ'
  <-- M2H | WRITE      | 09 07 00 04 B2 0A 00 CB 81 1E 00 00 6D 41 1E 00 4F | [Page:0x04 Off:0xB2 Len:10] Text:'쬀ẁ'
  --> H2M | WRITE      | 08 07 00 04 BC 0A 00 CC 81 1F 00 00 8C 41 1F 00 24 | [Page:0x04 Off:0xBC Len:10] Text:'찀ᾁ'
  <-- M2H | WRITE      | 09 07 00 04 BC 0A 00 CC 81 1F 00 00 8C 41 1F 00 23 | [Page:0x04 Off:0xBC Len:10] Text:'찀ᾁ'
  --> H2M | WRITE      | 08 07 00 04 C6 0A 00 DB 81 1E 00 00 7D 41 1E 00 1C | [Page:0x04 Off:0xC6 Len:10]
  <-- M2H | WRITE      | 09 07 00 04 C6 0A 00 DB 81 1E 00 00 7D 41 1E 00 1B | [Page:0x04 Off:0xC6 Len:10]
  --> H2M | WRITE      | 08 07 00 04 D0 0A 00 CB 81 1F 00 00 6D 41 1F 00 30 | [Page:0x04 Off:0xD0 Len:10] Text:'쬀ᾁ'
  <-- M2H | WRITE      | 09 07 00 04 D0 0A 00 CB 81 1F 00 00 6D 41 1F 00 2F | [Page:0x04 Off:0xD0 Len:10] Text:'쬀ᾁ'
  --> H2M | WRITE      | 08 07 00 04 DA 06 00 03 38 00 00 00 00 00 00 00 27 | [Page:0x04 Off:0xDA Len:6] ** TERMINATOR Inner=0x38 **
  <-- M2H | WRITE      | 09 07 00 04 DA 06 00 03 38 00 00 00 00 00 00 00 26 | [Page:0x04 Off:0xDA Len:6] ** TERMINATOR Inner=0x38 **
  --> H2M | WRITE      | 08 07 00 00 64 04 06 01 FF 4F 00 00 00 00 00 00 89 | [Page:0x00 Off:0x64 Len:4] Text:'Ć俿'
  <-- M2H | WRITE      | 09 07 00 00 64 04 06 01 FF 4F 00 00 00 00 00 00 88 | [Page:0x00 Off:0x64 Len:4] Text:'Ć俿'
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | WRITE      | 08 07 00 06 00 0A 06 37 00 38 00 39 00 00 00 00 88 | [Page:0x06 Off:0x00 Len:10] Text:'㜆㠀㤀'
  <-- M2H | WRITE      | 09 07 00 06 00 0A 06 37 00 38 00 39 00 00 00 00 87 | [Page:0x06 Off:0x00 Len:10] Text:'㜆㠀㤀'
  --> H2M | WRITE      | 08 07 00 06 0A 0A 00 00 00 00 00 00 00 00 00 00 2C | [Page:0x06 Off:0x0A Len:10]
  <-- M2H | WRITE      | 09 07 00 06 0A 0A 00 00 00 00 00 00 00 00 00 00 2B | [Page:0x06 Off:0x0A Len:10]
  --> H2M | WRITE      | 08 07 00 06 14 0A 00 00 00 00 00 00 00 00 00 00 22 | [Page:0x06 Off:0x14 Len:10]
  <-- M2H | WRITE      | 09 07 00 06 14 0A 00 00 00 00 00 00 00 00 00 00 21 | [Page:0x06 Off:0x14 Len:10]
  --> H2M | WRITE      | 08 07 00 06 1E 0A 00 08 81 1E 00 00 AC 41 1E 00 66 | [Page:0x06 Off:0x1E Len:10] Text:'ࠀẁ'
  <-- M2H | WRITE      | 09 07 00 06 1E 0A 00 08 81 1E 00 00 AC 41 1E 00 65 | [Page:0x06 Off:0x1E Len:10] Text:'ࠀẁ'
  --> H2M | WRITE      | 08 07 00 06 28 0A 00 AC 81 21 00 00 8D 41 21 00 D1 | [Page:0x06 Off:0x28 Len:10] Text:'가ↁ'
  <-- M2H | WRITE      | 09 07 00 06 28 0A 00 AC 81 21 00 00 8D 41 21 00 D0 | [Page:0x06 Off:0x28 Len:10] Text:'가ↁ'
  --> H2M | WRITE      | 08 07 00 06 32 0A 00 EA 81 22 00 00 9C 41 22 00 78 | [Page:0x06 Off:0x32 Len:10]
  <-- M2H | WRITE      | 09 07 00 06 32 0A 00 EA 81 22 00 00 9C 41 22 00 77 | [Page:0x06 Off:0x32 Len:10]
  --> H2M | WRITE      | 08 07 00 06 3C 0A 00 CC 81 1F 00 00 7D 41 1F 00 B1 | [Page:0x06 Off:0x3C Len:10] Text:'찀ᾁ'
  <-- M2H | WRITE      | 09 07 00 06 3C 0A 00 CC 81 1F 00 00 7D 41 1F 00 B0 | [Page:0x06 Off:0x3C Len:10] Text:'찀ᾁ'
  --> H2M | WRITE      | 08 07 00 06 46 06 00 03 8E 00 00 00 00 00 00 00 63 | [Page:0x06 Off:0x46 Len:6] ** TERMINATOR Inner=0x8E **
  <-- M2H | WRITE      | 09 07 00 06 46 06 00 03 8E 00 00 00 00 00 00 00 62 | [Page:0x06 Off:0x46 Len:6] ** TERMINATOR Inner=0x8E **
  --> H2M | WRITE      | 08 07 00 00 68 04 06 02 03 4A 00 00 00 00 00 00 85 | [Page:0x00 Off:0x68 Len:4] Text:'Ȇ䨃'
  <-- M2H | WRITE      | 09 07 00 00 68 04 06 02 03 4A 00 00 00 00 00 00 84 | [Page:0x00 Off:0x68 Len:4] Text:'Ȇ䨃'
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | WRITE      | 08 07 00 07 80 0A 06 37 00 38 00 39 00 00 00 00 07 | [Page:0x07 Off:0x80 Len:10] Text:'㜆㠀㤀'
  <-- M2H | WRITE      | 09 07 00 07 80 0A 06 37 00 38 00 39 00 00 00 00 06 | [Page:0x07 Off:0x80 Len:10] Text:'㜆㠀㤀'
  --> H2M | WRITE      | 08 07 00 07 8A 0A 00 00 00 00 00 00 00 00 00 00 AB | [Page:0x07 Off:0x8A Len:10]
  <-- M2H | WRITE      | 09 07 00 07 8A 0A 00 00 00 00 00 00 00 00 00 00 AA | [Page:0x07 Off:0x8A Len:10]
  --> H2M | WRITE      | 08 07 00 07 94 0A 00 00 00 00 00 00 00 00 00 00 A1 | [Page:0x07 Off:0x94 Len:10]
  <-- M2H | WRITE      | 09 07 00 07 94 0A 00 00 00 00 00 00 00 00 00 00 A0 | [Page:0x07 Off:0x94 Len:10]
  --> H2M | WRITE      | 08 07 00 07 9E 0A 00 08 81 1E 00 00 AC 41 1E 00 E5 | [Page:0x07 Off:0x9E Len:10] Text:'ࠀẁ'
  <-- M2H | WRITE      | 09 07 00 07 9E 0A 00 08 81 1E 00 00 AC 41 1E 00 E4 | [Page:0x07 Off:0x9E Len:10] Text:'ࠀẁ'
  --> H2M | WRITE      | 08 07 00 07 A8 0A 00 AC 81 21 00 00 8D 41 21 00 50 | [Page:0x07 Off:0xA8 Len:10] Text:'가ↁ'
  <-- M2H | WRITE      | 09 07 00 07 A8 0A 00 AC 81 21 00 00 8D 41 21 00 4F | [Page:0x07 Off:0xA8 Len:10] Text:'가ↁ'
  --> H2M | WRITE      | 08 07 00 07 B2 0A 00 EA 81 22 00 00 9C 41 22 00 F7 | [Page:0x07 Off:0xB2 Len:10]
  <-- M2H | WRITE      | 09 07 00 07 B2 0A 00 EA 81 22 00 00 9C 41 22 00 F6 | [Page:0x07 Off:0xB2 Len:10]
  --> H2M | WRITE      | 08 07 00 07 BC 0A 00 CC 81 1F 00 00 7D 41 1F 00 30 | [Page:0x07 Off:0xBC Len:10] Text:'찀ᾁ'
  <-- M2H | WRITE      | 09 07 00 07 BC 0A 00 CC 81 1F 00 00 7D 41 1F 00 2F | [Page:0x07 Off:0xBC Len:10] Text:'찀ᾁ'
  --> H2M | WRITE      | 08 07 00 07 C6 06 00 03 8E 00 00 00 00 00 00 00 E2 | [Page:0x07 Off:0xC6 Len:6] ** TERMINATOR Inner=0x8E **
  <-- M2H | WRITE      | 09 07 00 07 C6 06 00 03 8E 00 00 00 00 00 00 00 E1 | [Page:0x07 Off:0xC6 Len:6] ** TERMINATOR Inner=0x8E **
  --> H2M | WRITE      | 08 07 00 00 6C 04 06 03 03 49 00 00 00 00 00 00 81 | [Page:0x00 Off:0x6C Len:4]
  <-- M2H | WRITE      | 09 07 00 00 6C 04 06 03 03 49 00 00 00 00 00 00 80 | [Page:0x00 Off:0x6C Len:4]
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | WRITE      | 08 07 00 09 00 0A 06 34 00 35 00 36 00 00 00 00 8E | [Page:0x09 Off:0x00 Len:10] Text:'㐆㔀㘀'
  <-- M2H | WRITE      | 09 07 00 09 00 0A 06 34 00 35 00 36 00 00 00 00 8D | [Page:0x09 Off:0x00 Len:10] Text:'㐆㔀㘀'
  --> H2M | WRITE      | 08 07 00 09 0A 0A 00 00 00 00 00 00 00 00 00 00 29 | [Page:0x09 Off:0x0A Len:10]
  <-- M2H | WRITE      | 09 07 00 09 0A 0A 00 00 00 00 00 00 00 00 00 00 28 | [Page:0x09 Off:0x0A Len:10]
  --> H2M | WRITE      | 08 07 00 09 14 0A 00 00 00 00 00 00 00 00 00 00 1F | [Page:0x09 Off:0x14 Len:10]
  <-- M2H | WRITE      | 09 07 00 09 14 0A 00 00 00 00 00 00 00 00 00 00 1E | [Page:0x09 Off:0x14 Len:10]
  --> H2M | WRITE      | 08 07 00 09 1E 0A 00 0C 81 1E 00 00 7D 41 1E 00 8E | [Page:0x09 Off:0x1E Len:10]
  <-- M2H | WRITE      | 09 07 00 09 1E 0A 00 0C 81 1E 00 00 7D 41 1E 00 8D | [Page:0x09 Off:0x1E Len:10]
  --> H2M | WRITE      | 08 07 00 09 28 0A 00 EA 81 1F 00 00 8D 41 1F 00 94 | [Page:0x09 Off:0x28 Len:10]
  <-- M2H | WRITE      | 09 07 00 09 28 0A 00 EA 81 1F 00 00 8D 41 1F 00 93 | [Page:0x09 Off:0x28 Len:10]
  --> H2M | WRITE      | 08 07 00 09 32 0A 00 CB 81 1E 00 00 6D 41 1E 00 CB | [Page:0x09 Off:0x32 Len:10] Text:'쬀ẁ'
  <-- M2H | WRITE      | 09 07 00 09 32 0A 00 CB 81 1E 00 00 6D 41 1E 00 CA | [Page:0x09 Off:0x32 Len:10] Text:'쬀ẁ'
  --> H2M | WRITE      | 08 07 00 09 3C 0A 00 CC 81 1F 00 00 8C 41 1F 00 9F | [Page:0x09 Off:0x3C Len:10] Text:'찀ᾁ'
  <-- M2H | WRITE      | 09 07 00 09 3C 0A 00 CC 81 1F 00 00 8C 41 1F 00 9E | [Page:0x09 Off:0x3C Len:10] Text:'찀ᾁ'
  --> H2M | WRITE      | 08 07 00 09 46 0A 00 DB 81 1E 00 00 7D 41 1E 00 97 | [Page:0x09 Off:0x46 Len:10]
  <-- M2H | WRITE      | 09 07 00 09 46 0A 00 DB 81 1E 00 00 7D 41 1E 00 96 | [Page:0x09 Off:0x46 Len:10]
  --> H2M | WRITE      | 08 07 00 09 50 0A 00 CB 81 1F 00 00 6D 41 1F 00 AB | [Page:0x09 Off:0x50 Len:10] Text:'쬀ᾁ'
  <-- M2H | WRITE      | 09 07 00 09 50 0A 00 CB 81 1F 00 00 6D 41 1F 00 AA | [Page:0x09 Off:0x50 Len:10] Text:'쬀ᾁ'
  --> H2M | WRITE      | 08 07 00 09 5A 06 00 03 38 00 00 00 00 00 00 00 A2 | [Page:0x09 Off:0x5A Len:6] ** TERMINATOR Inner=0x38 **
  <-- M2H | WRITE      | 09 07 00 09 5A 06 00 03 38 00 00 00 00 00 00 00 A1 | [Page:0x09 Off:0x5A Len:6] ** TERMINATOR Inner=0x38 **
  --> H2M | WRITE      | 08 07 00 00 70 04 06 04 FF 4C 00 00 00 00 00 00 7D | [Page:0x00 Off:0x70 Len:4] Text:'І䳿'
  <-- M2H | WRITE      | 09 07 00 00 70 04 06 04 FF 4C 00 00 00 00 00 00 7C | [Page:0x00 Off:0x70 Len:4] Text:'І䳿'
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | COMMIT     | 08 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 |
  <-- M2H | COMMIT     | 09 04 00 00 00 02 0A 01 00 00 00 00 00 00 00 00 3B |
  --> H2M | WRITE      | 08 07 00 0A 80 0A 06 31 00 32 00 33 00 00 00 00 16 | [Page:0x0A Off:0x80 Len:10]
  <-- M2H | WRITE      | 09 07 00 0A 80 0A 06 31 00 32 00 33 00 00 00 00 15 | [Page:0x0A Off:0x80 Len:10]
  --> H2M | WRITE      | 08 07 00 0A 8A 0A 00 00 00 00 00 00 00 00 00 00 A8 | [Page:0x0A Off:0x8A Len:10]
  <-- M2H | WRITE      | 09 07 00 0A 8A 0A 00 00 00 00 00 00 00 00 00 00 A7 | [Page:0x0A Off:0x8A Len:10]
  --> H2M | WRITE      | 08 07 00 0A 94 0A 00 00 00 00 00 00 00 00 00 00 9E | [Page:0x0A Off:0x94 Len:10]
  <-- M2H | WRITE      | 09 07 00 0A 94 0A 00 00 00 00 00 00 00 00 00 00 9D | [Page:0x0A Off:0x94 Len:10]
  --> H2M | WRITE      | 08 07 00 0A 9E 0A 00 12 81 1E 00 00 7D 41 1E 00 07 | [Page:0x0A Off:0x9E Len:10] Text:'ሀẁ'
  <-- M2H | WRITE      | 09 07 00 0A 9E 0A 00 12 81 1E 00 00 7D 41 1E 00 06 | [Page:0x0A Off:0x9E Len:10] Text:'ሀẁ'
  --> H2M | WRITE      | 08 07 00 0A A8 0A 00 BB 81 1F 00 00 7D 41 1F 00 52 | [Page:0x0A Off:0xA8 Len:10] Text:'묀ᾁ'
  <-- M2H | WRITE      | 09 07 00 0A A8 0A 00 BB 81 1F 00 00 7D 41 1F 00 51 | [Page:0x0A Off:0xA8 Len:10] Text:'묀ᾁ'
  --> H2M | WRITE      | 08 07 00 0A B2 0A 00 BC 81 20 00 00 EA 41 20 00 D8 | [Page:0x0A Off:0xB2 Len:10] Text:'밀₁'
  <-- M2H | WRITE      | 09 07 00 0A B2 0A 00 BC 81 20 00 00 EA 41 20 00 D7 | [Page:0x0A Off:0xB2 Len:10] Text:'밀₁'
  --> H2M | WRITE      | 08 07 00 0A BC 0A 01 19 81 21 00 00 9C 41 21 00 BC | [Page:0x0A Off:0xBC Len:10] Text:'ᤁↁ'
  <-- M2H | WRITE      | 09 07 00 0A BC 0A 01 19 81 21 00 00 9C 41 21 00 BB | [Page:0x0A Off:0xBC Len:10] Text:'ᤁↁ'
  --> H2M | WRITE      | 08 07 00 0A C6 0A 00 BC 81 22 00 00 6D 41 22 00 3D | [Page:0x0A Off:0xC6 Len:10]
  <-- M2H | WRITE      | 09 07 00 0A C6 0A 00 BC 81 22 00 00 6D 41 22 00 3C | [Page:0x0A Off:0xC6 Len:10]
  --> H2M | WRITE      | 08 07 00 0A D0 0A 00 CB 81 23 00 00 9D 41 23 00 F2 | [Page:0x0A Off:0xD0 Len:10]
  <-- M2H | WRITE      | 09 07 00 0A D0 0A 00 CB 81 23 00 00 9D 41 23 00 F1 | [Page:0x0A Off:0xD0 Len:10]
  --> H2M | WRITE      | 08 07 00 0A DA 0A 01 A6 81 24 00 00 9C 41 24 00 0B | [Page:0x0A Off:0xDA Len:10] Text:'ꘁ⒁'
  <-- M2H | WRITE      | 09 07 00 0A DA 0A 01 A6 81 24 00 00 9C 41 24 00 0A | [Page:0x0A Off:0xDA Len:10] Text:'ꘁ⒁'
  --> H2M | WRITE      | 08 07 00 0A E4 0A 01 48 81 25 00 00 AC 41 25 00 4D | [Page:0x0A Off:0xE4 Len:10]
  <-- M2H | WRITE      | 09 07 00 0A E4 0A 01 48 81 25 00 00 AC 41 25 00 4C | [Page:0x0A Off:0xE4 Len:10]
  --> H2M | WRITE      | 08 07 00 0A EE 0A 00 CB 81 26 00 00 7D 41 26 00 EE | [Page:0x0A Off:0xEE Len:10]
  <-- M2H | WRITE      | 09 07 00 0A EE 0A 00 CB 81 26 00 00 7D 41 26 00 ED | [Page:0x0A Off:0xEE Len:10]
  --> H2M | WRITE      | 08 07 00 0A F8 06 00 03 E8 00 00 00 00 00 00 00 53 | [Page:0x0A Off:0xF8 Len:6] ** TERMINATOR Inner=0xE8 **
  <-- M2H | WRITE      | 09 07 00 0A F8 06 00 03 E8 00 00 00 00 00 00 00 52 | [Page:0x0A Off:0xF8 Len:6] ** TERMINATOR Inner=0xE8 **
  --> H2M | WRITE      | 08 07 00 00 74 04 06 05 FE 4C 00 00 00 00 00 00 79 | [Page:0x00 Off:0x74 Len:4] Text:'Ԇ䳾'
  <-- M2H | WRITE      | 09 07 00 00 74 04 06 05 FE 4C 00 00 00 00 00 00 78 | [Page:0x00 Off:0x74 Len:4] Text:'Ԇ䳾'
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | WRITE      | 08 07 00 02 00 0A 06 80 01 00 80 04 00 81 4C 00 62 | [Page:0x02 Off:0x00 Len:10] Text:'耆Ҁ脀L'
  <-- M2H | WRITE      | 09 07 00 02 00 0A 06 80 01 00 80 04 00 81 4C 00 61 | [Page:0x02 Off:0x00 Len:10] Text:'耆Ҁ脀L'
  --> H2M | WRITE      | 08 07 00 02 0A 0A 40 01 00 40 04 00 41 4C 00 6B B3 | [Page:0x02 Off:0x0A Len:10] Text:'ŀ䀀䱁欀'
  <-- M2H | WRITE      | 09 07 00 02 0A 0A 40 01 00 40 04 00 41 4C 00 6B B2 | [Page:0x02 Off:0x0A Len:10] Text:'ŀ䀀䱁欀'
  --> H2M | WRITE      | 08 07 00 00 80 04 05 00 00 50 00 00 00 00 00 00 6D | [Page:0x00 Off:0x80 Len:4]
  <-- M2H | WRITE      | 09 07 00 00 80 04 05 00 00 50 00 00 00 00 00 00 6C | [Page:0x00 Off:0x80 Len:4]
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | COMMIT     | 08 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 |
  <-- M2H | COMMIT     | 09 04 00 00 00 02 0A 01 00 00 00 00 00 00 00 00 3B |
  --> H2M | WRITE      | 08 07 00 00 84 04 04 28 03 26 00 00 00 00 00 00 69 | [Page:0x00 Off:0x84 Len:4]
  <-- M2H | WRITE      | 09 07 00 00 84 04 04 28 03 26 00 00 00 00 00 00 68 | [Page:0x00 Off:0x84 Len:4]
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | WRITE      | 08 07 00 00 90 04 04 32 03 1C 00 00 00 00 00 00 5D | [Page:0x00 Off:0x90 Len:4]
  <-- M2H | WRITE      | 09 07 00 00 90 04 04 32 03 1C 00 00 00 00 00 00 5C | [Page:0x00 Off:0x90 Len:4]
  --> H2M | COMMIT     | 08 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 |
  <-- M2H | COMMIT     | 09 04 00 00 00 02 0A 01 00 00 00 00 00 00 00 00 3B |
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | WRITE      | 08 07 00 00 94 04 08 00 00 4D 00 00 00 00 00 00 59 | [Page:0x00 Off:0x94 Len:4]
  <-- M2H | WRITE      | 09 07 00 00 94 04 08 00 00 4D 00 00 00 00 00 00 58 | [Page:0x00 Off:0x94 Len:4]
